time,CLMcom.CERFACS-CNRM-CM5.CCLM4-8-17.r1i1p1.rcp45,CLMcom.EC-EARTH.CCLM4-8-17.r12i1p1.rcp26,CLMcom.EC-EARTH.CCLM4-8-17.r12i1p1.rcp45,CLMcom.MIROC5.CCLM4-8-17.r1i1p1.rcp26,CLMcom.M-MPI-ESM-LR.CCLM4-8-17.r1i1p1.rcp45,CLMcom.M-MPI-ESM-LR.CCLM4-8-17.r1i1p1.rcp85,DMI.CERFACS-CNRM-CM5.HIRHAM5.r1i1p1.rcp85,DMI.EC-EARTH.HIRHAM5.r12i1p1.rcp85,DMI.NorESM1-M.HIRHAM5.r1i1p1.rcp85,GERICS.EC-EARTH.REMO2015.r12i1p1.rcp26,GERICS.IPSL-CM5A-LR.REMO2015.r1i1p1.rcp26,GERICS.NorESM1-M.REMO2015.r1i1p1.rcp85,GERICS.GFDL-GFDL-ESM2G.REMO2015.r1i1p1.rcp26,KNMI.CERFACS-CNRM-CM5.RACMO22E.r1i1p1.rcp26,KNMI.EC-EARTH.RACMO22E.r12i1p1.rcp26,KNMI.EC-EARTH.RACMO22E.r12i1p1.rcp45,KNMI.EC-EARTH.RACMO22E.r12i1p1.rcp85,KNMI.EC-EARTH.RACMO22E.r1i1p1.rcp85,KNMI.EC-EARTH.RACMO22E.r3i1p1.rcp85,MPI-CSC.M-MPI-ESM-LR.REMO2009.r1i1p1.rcp26,MPI-CSC.M-MPI-ESM-LR.REMO2009.r2i1p1.rcp26,MPI-CSC.M-MPI-ESM-LR.REMO2009.r1i1p1.rcp45,MPI-CSC.M-MPI-ESM-LR.REMO2009.r2i1p1.rcp45,MPI-CSC.M-MPI-ESM-LR.REMO2009.r1i1p1.rcp85
2006-01-31,0.0032570204974549525,0.07340878969805574,0.025002299095848755,0.009988610951783517,0.0,0.00025039589470986164,0.0010996910082007177,0.09187178558499369,3.852478147597848e-05,0.061233087306447616,0.13958602661438266,0.002070752364454091,0.0,0.009429471869119032,0.1152788292555682,0.12093370048842651,0.10467579690502825,0.025163129568285182,0.0,,8.064829089655488e-05,4.559572908017524e-08,4.853637572853e-06,0.0006181411783358819
2006-02-28,0.028882142071155394,0.296267022671914,0.04149608973001426,0.02647661628589239,0.0004392368295059417,0.00314282341440376,0.0021169777323595787,0.13090840569582832,0.061825773686917516,0.41844528870661474,4.339863873566603,0.010592911036868158,,0.018134620087151956,2.087516341606646,0.03228748467508826,0.045207467463785095,0.17288593032666816,0.05738416573369517,1.6074012733877974e-08,0.004567347268474951,0.10770450052293297,0.04029774720112304,0.012766174435745795
2006-03-31,0.4416463039687688,1.991778021596145,0.4601321469601906,6.336373890788082,0.0034031578184347527,2.1832556655857878,0.028583270523516738,1.445349337028946,0.34308940901765006,0.3694390593958535,5.264802835773891,0.11822211549835868,0.0003466414937460404,0.2107711138240615,3.1035005364577657,0.0408015711341826,1.0816432137236518,1.616799694496108,,0.45241965956549346,0.05491338415212164,0.05481668833724607,0.060522576833564476,0.15096284104300142
2006-04-30,0.505993764560563,3.26662844147959,1.015754833884912,3.624588211930524,0.1904412886405501,1.8521238560264481,0.10891447817411846,2.2060460601515226,1.677220380030008,0.2573964641863743,2.9730497139494543,0.32581116431143337,0.01338091017210532,0.6652058846987994,1.2231743852198405,0.13704382624922462,3.276834528987056,1.0129845374214788,0.164601519887107,0.26619411262942616,0.11972420343006308,0.08292987474894771,0.21240422482472768,0.08254587390996951
2006-05-31,3.3633565995045718,8.530186613032583,1.902614290962907,2.3058767806531746,1.108034630651388,2.5236698849739962,4.46485519954066,3.9554256857912096,6.558887075634688,0.12053817018937543,1.3537514504894061,0.6647595119067417,0.06092994188156934,1.6535174067398737,3.3356892897512243,2.079185711307514,4.706902184101681,0.1895292440239347,0.8971023085771388,0.4635706032661437,0.10522875774469917,0.871600240339507,0.2746383844090323,0.24348834969941674
2006-06-30,4.112821943070859,9.062301015153476,7.21917389463051,0.9108458887165691,1.1037563433728101,0.33373674304157175,4.301276687918629,0.6694336713402134,0.8555813324234858,0.792716496711394,1.4588193961238114,2.059597942440572,0.023842505769960012,2.3905032913382986,7.642463831864128,2.8032602870241625,1.1031781641907,1.593650739801885,0.2382881401064953,0.9567046990129953,0.3762734304093337,0.35488986953445173,0.4501496228887733,0.3670100817742652
2006-07-31,9.879540156625144,4.543139133016631,3.899655950340369,8.801967972061075,1.6667698715243278,1.879595130447394,0.4870325360615983,1.9899207317291907,2.3590426100793565,0.07474418684841333,2.286267084698624,1.1839968749149912,3.930639435812908,1.035265824258675,6.26427578986509,1.9537879148196222,2.9869859326566996,1.3795335730825355,1.0427963025300115,2.7490493610463043,5.5239096811183535,0.22001369550391803,1.003564950296231,0.24458394974110537
2006-08-31,6.209332756971964,6.915363215786943,3.9666241243028884,7.955502244517674,5.073254009899027,5.051613394828493,14.9636084777948,2.8118342825874922,1.956053766860492,1.6740845714776516,0.3704279300458275,3.732065658253618,2.7213509291846862,11.691917696943085,9.774591624038775,2.307825849142794,3.136456962794327,2.0501146889955413,2.854696425106824,7.466771716013174,1.293326005560247,7.278481857240209,1.6869213812130635,0.4073071369045882
2006-09-30,11.639288639498034,7.064303423685756,5.075187260470647,3.7400567322203093,5.864511831671766,9.316386780853163,17.955857467475695,3.8150862844547957,0.4092748822563359,13.82631680587849,1.3643585381868824,11.42541259329589,7.202199781436166,8.700550244059873,10.849384552944205,5.829531206918719,12.297909091774574,3.942919812167002,4.312937557713047,6.828771698423653,1.2342675449736848,6.306170487018216,7.606486020641866,1.9774842024332537
2006-10-31,1.4815092147370699,5.68501457803638,17.02914319632053,9.260389223090375,0.5042860451231321,7.315401647078051,4.169922862956518,2.337332631923114,1.1862778664439424,6.933297858074888,1.9227790040216761,17.3697006798173,4.595833658474882,16.630236466978843,10.599114406359568,9.766000803033185,6.846916801718781,6.441287662643868,2.9132538168427393,5.016656417731717,1.346446534623277,6.6183855978339725,1.5269724490781023,1.3039519365872418
